"id";"golfer_id";"score";"course_name";"created_at"
159;7;38;"Robert A. Black";"2009-05-12 00:00:00"
160;10;46;"Robert A. Black";"2009-05-12 00:00:00"
161;1;37;"Robert A. Black";"2009-05-19 00:00:00"
162;11;41;"Robert A. Black";"2009-05-19 00:00:00"
163;2;42;"Robert A. Black";"2009-05-19 00:00:00"
164;3;45;"Robert A. Black";"2009-05-19 00:00:00"
165;4;40;"Robert A. Black";"2009-05-19 00:00:00"
166;5;42;"Robert A. Black";"2009-05-19 00:00:00"
167;7;36;"Robert A. Black";"2009-05-19 00:00:00"
168;10;46;"Robert A. Black";"2009-05-14 00:00:00"
169;1;35;"Robert A. Black";"2009-05-26 00:00:00"
170;11;45;"Robert A. Black";"2009-05-26 00:00:00"
171;2;40;"Robert A. Black";"2009-05-26 00:00:00"
172;5;35;"Robert A. Black";"2009-05-26 00:00:00"
173;7;37;"Robert A. Black";"2009-05-26 00:00:00"
174;10;44;"Robert A. Black";"2009-05-26 00:00:00"
175;1;37;"Robert A. Black";"2009-06-02 00:00:00"
176;11;41;"Robert A. Black";"2009-06-02 00:00:00"
177;2;37;"Robert A. Black";"2009-06-02 00:00:00"
178;3;46;"Robert A. Black";"2009-06-02 00:00:00"
179;4;38;"Robert A. Black";"2009-06-02 00:00:00"
180;1;36;"Robert A. Black";"2009-06-09 00:00:00"
181;11;45;"Robert A. Black";"2009-06-09 00:00:00"
182;2;43;"Robert A. Black";"2009-06-09 00:00:00"
183;3;46;"Robert A. Black";"2009-06-09 00:00:00"
184;4;39;"Robert A. Black";"2009-06-09 00:00:00"
185;5;43;"Robert A. Black";"2009-06-09 00:00:00"
186;7;38;"Robert A. Black";"2009-06-09 00:00:00"
187;10;42;"Robert A. Black";"2009-06-09 00:00:00"
188;6;37;"Robert A. Black";"2009-06-23 00:00:00"
189;10;45;"Robert A. Black";"2009-06-23 00:00:00"
190;11;44;"Robert A. Black";"2009-06-23 00:00:00"
191;1;37;"Robert A. Black";"2009-06-23 00:00:00"
192;3;42;"Robert A. Black";"2009-06-23 00:00:00"
193;3;46;"Robert A. Black";"2009-06-23 00:00:00"
194;7;43;"Robert A. Black";"2009-06-23 00:00:00"
195;5;41;"Robert A. Black";"2009-06-23 00:00:00"
196;1;37;"Robert A. Black";"2009-06-30 00:00:00"
197;11;40;"Robert A. Black";"2009-06-30 00:00:00"
198;2;40;"Robert A. Black";"2009-06-30 00:00:00"
199;3;47;"Robert A. Black";"2009-06-30 00:00:00"
200;4;41;"Robert A. Black";"2009-06-30 00:00:00"
201;5;38;"Robert A. Black";"2009-06-30 00:00:00"
202;7;45;"Robert A. Black";"2009-06-30 00:00:00"
203;10;48;"Robert A. Black";"2009-06-30 00:00:00"
204;3;46;"Robert A. Black";"2009-07-07 00:00:00"
205;4;39;"Robert A. Black";"2009-07-07 00:00:00"
206;11;42;"Robert A. Black";"2009-07-07 00:00:00"
207;2;38;"Robert A. Black";"2009-07-07 00:00:00"
208;5;38;"Robert A. Black";"2009-07-07 00:00:00"
209;7;39;"Robert A. Black";"2009-07-07 00:00:00"
210;1;36;"Robert A. Black";"2009-07-07 00:00:00"
211;13;39;"Robert A. Black";"2008-10-19 00:00:00"
212;13;40;"Robert A. Black";"2008-10-20 00:00:00"
213;13;42;"Robert A. Black";"2008-10-21 00:00:00"
214;13;46;"Robert A. Black";"2009-04-24 00:00:00"
215;13;43;"Robert A. Black";"2009-04-28 00:00:00"
216;13;44;"Robert A. Black";"2009-05-05 00:00:00"
217;13;43;"Robert A. Black";"2009-05-12 00:00:00"
218;13;45;"Robert A. Black";"2009-05-19 00:00:00"
219;13;44;"Robert A. Black";"2009-05-26 00:00:00"
220;13;39;"Robert A. Black";"2009-06-02 00:00:00"
221;13;44;"Robert A. Black";"2009-06-09 00:00:00"
222;13;41;"Robert A. Black";"2009-06-23 00:00:00"
223;13;40;"Robert A. Black";"2009-06-30 00:00:00"
224;13;43;"Robert A. Black";"2009-07-07 00:00:00"
225;13;39;"Robert A. Black";"2009-07-14 00:00:00"
226;12;42;"Robert A. Black";"2009-07-14 00:00:00"
227;1;36;"Robert A. Black";"2009-07-14 00:00:00"
228;6;40;"Robert A. Black";"2009-07-14 00:00:00"
229;11;39;"Robert A. Black";"2009-07-14 00:00:00"
230;4;34;"Robert A. Black";"2009-07-14 00:00:00"
231;3;46;"Robert A. Black";"2009-07-14 00:00:00"
232;10;46;"Robert A. Black";"2009-07-14 00:00:00"
233;7;39;"Robert A. Black";"2009-07-14 00:00:00"
234;2;40;"Robert A. Black";"2009-07-14 00:00:00"
235;5;41;"Robert A. Black";"2009-07-14 00:00:00"
236;11;46;"Robert A. Black";"2009-07-21 00:00:00"
237;1;38;"Robert A. Black";"2009-07-21 00:00:00"
238;7;41;"Robert A. Black";"2009-07-21 00:00:00"
239;2;41;"Robert A. Black";"2009-07-21 00:00:00"
240;5;37;"Robert A. Black";"2009-07-21 00:00:00"
241;10;44;"Robert A. Black";"2009-07-21 00:00:00"
242;13;40;"Robert A. Black";"2009-07-21 00:00:00"
243;7;41;"Robert A. Black";"2009-07-28 00:00:00"
244;2;39;"Robert A. Black";"2009-07-28 00:00:00"
245;13;43;"Robert A. Black";"2009-07-28 00:00:00"
246;12;38;"Robert A. Black";"2009-07-28 00:00:00"
247;11;39;"Robert A. Black";"2009-07-28 00:00:00"
248;1;40;"Robert A. Black";"2009-07-28 00:00:00"
249;14;39;"Robert A. Black";"2009-07-28 00:00:00"
250;4;37;"Robert A. Black";"2009-07-28 00:00:00"
251;1;39;"Robert A. Black";"2009-08-04 00:00:00"
252;13;46;"Robert A. Black";"2009-08-04 00:00:00"
253;11;38;"Robert A. Black";"2009-08-04 00:00:00"
254;2;41;"Robert A. Black";"2009-08-04 00:00:00"
255;3;45;"Robert A. Black";"2009-08-04 00:00:00"
256;4;35;"Robert A. Black";"2009-08-04 00:00:00"
257;5;42;"Robert A. Black";"2009-08-04 00:00:00"
258;12;40;"Robert A. Black";"2009-08-04 00:00:00"
259;7;41;"Robert A. Black";"2009-08-04 00:00:00"
260;8;42;"Robert A. Black";"2009-08-04 00:00:00"
261;1;39;"Robert A. Black";"2009-08-11 00:00:00"
262;11;46;"Robert A. Black";"2009-08-11 00:00:00"
263;2;35;"Robert A. Black";"2009-08-11 00:00:00"
264;3;45;"Robert A. Black";"2009-08-11 00:00:00"
265;4;39;"Robert A. Black";"2009-08-11 00:00:00"
266;14;37;"Robert A. Black";"2009-08-11 00:00:00"
267;7;40;"Robert A. Black";"2009-08-11 00:00:00"
268;9;41;"Robert A. Black";"2009-08-11 00:00:00"
269;1;35;"Robert A. Black";"2009-08-18 00:00:00"
270;13;40;"Robert A. Black";"2009-08-18 00:00:00"
271;11;41;"Robert A. Black";"2009-08-18 00:00:00"
272;2;40;"Robert A. Black";"2009-08-18 00:00:00"
273;3;48;"Robert A. Black";"2009-08-18 00:00:00"
274;4;40;"Robert A. Black";"2009-08-18 00:00:00"
275;12;45;"Robert A. Black";"2009-08-18 00:00:00"
276;14;38;"Robert A. Black";"2009-08-18 00:00:00"
277;7;43;"Robert A. Black";"2009-08-18 00:00:00"
278;8;38;"Robert A. Black";"2009-08-18 00:00:00"
279;9;39;"Robert A. Black";"2009-08-18 00:00:00"
280;10;44;"Robert A. Black";"2009-08-18 00:00:00"
281;1;40;"Robert A. Black";"2009-08-25 00:00:00"
282;13;43;"Robert A. Black";"2009-08-25 00:00:00"
283;11;40;"Robert A. Black";"2009-08-25 00:00:00"
284;2;38;"Robert A. Black";"2009-08-25 00:00:00"
285;3;44;"Robert A. Black";"2009-08-25 00:00:00"
286;5;41;"Robert A. Black";"2009-08-25 00:00:00"
287;14;39;"Robert A. Black";"2009-08-25 00:00:00"
288;7;41;"Robert A. Black";"2009-08-25 00:00:00"
289;8;47;"Robert A. Black";"2009-08-25 00:00:00"
290;9;37;"Robert A. Black";"2009-08-25 00:00:00"
291;1;40;"Robert A. Black";"2009-09-01 00:00:00"
292;13;44;"Robert A. Black";"2009-09-01 00:00:00"
293;13;40;"Robert A. Black";"2009-09-01 00:00:00"
294;11;40;"Robert A. Black";"2009-09-01 00:00:00"
295;2;39;"Robert A. Black";"2009-09-01 00:00:00"
296;3;44;"Robert A. Black";"2009-09-01 00:00:00"
297;4;40;"Robert A. Black";"2009-09-01 00:00:00"
298;5;44;"Robert A. Black";"2009-09-01 00:00:00"
299;14;37;"Robert A. Black";"2009-09-01 00:00:00"
300;7;43;"Robert A. Black";"2009-09-01 00:00:00"
301;8;41;"Robert A. Black";"2009-09-01 00:00:00"
302;4;39;"Robert A. Black";"2009-09-08 00:00:00"
303;8;40;"Robert A. Black";"2009-09-08 00:00:00"
304;1;38;"Robert A. Black";"2009-09-08 00:00:00"
305;7;43;"Robert A. Black";"2009-09-08 00:00:00"
306;2;39;"Robert A. Black";"2009-09-08 00:00:00"
307;9;38;"Robert A. Black";"2009-09-08 00:00:00"
308;3;46;"Robert A. Black";"2009-09-08 00:00:00"
309;10;43;"Robert A. Black";"2009-09-08 00:00:00"
310;12;40;"Robert A. Black";"2009-09-16 00:00:00"
311;6;40;"Robert A. Black";"2009-09-16 00:00:00"
312;9;38;"Robert A. Black";"2009-09-16 00:00:00"
313;8;41;"Robert A. Black";"2009-09-16 00:00:00"
314;3;45;"Robert A. Black";"2009-09-16 00:00:00"
315;7;41;"Robert A. Black";"2009-09-16 00:00:00"
316;2;41;"Robert A. Black";"2009-09-16 00:00:00"
317;5;41;"Robert A. Black";"2009-09-16 00:00:00"
318;11;43;"Robert A. Black";"2009-09-16 00:00:00"
319;4;37;"Robert A. Black";"2009-09-16 00:00:00"
320;1;36;"Robert A. Black";"2009-09-16 00:00:00"
321;2;42;"Robert A. Black";"2009-09-22 00:00:00"
322;3;45;"Robert A. Black";"2009-09-22 00:00:00"
323;4;39;"Robert A. Black";"2009-09-22 00:00:00"
324;5;42;"Robert A. Black";"2009-09-22 00:00:00"
325;12;41;"Robert A. Black";"2009-09-22 00:00:00"
326;6;40;"Robert A. Black";"2009-09-22 00:00:00"
327;10;48;"Robert A. Black";"2009-09-22 00:00:00"
328;15;38;"Robert A. Black";"2009-09-22 00:00:00"
329;6;42;"Robert A. Black";"2009-09-29 00:00:00"
330;1;37;"Robert A. Black";"2009-09-29 00:00:00"
331;13;38;"Robert A. Black";"2009-09-29 00:00:00"
332;2;39;"Robert A. Black";"2009-09-29 00:00:00"
333;3;43;"Robert A. Black";"2009-09-29 00:00:00"
334;4;37;"Robert A. Black";"2009-09-29 00:00:00"
335;5;40;"Robert A. Black";"2009-09-29 00:00:00"
336;12;44;"Robert A. Black";"2009-09-29 00:00:00"
337;10;37;"Robert A. Black";"2009-09-29 00:00:00"
338;1;35;"Robert A. Black";"2009-10-10 00:00:00"
339;9;42;"Robert A. Black";"2009-10-10 00:00:00"
340;14;32;"Robert A. Black";"2009-10-10 00:00:00"
341;6;38;"Robert A. Black";"2009-10-10 00:00:00"
342;12;41;"Robert A. Black";"2009-10-10 00:00:00"
343;10;46;"Robert A. Black";"2009-10-10 00:00:00"
344;13;37;"Robert A. Black";"2009-10-10 00:00:00"
345;7;41;"Robert A. Black";"2009-10-10 00:00:00"
346;2;40;"Robert A. Black";"2009-10-10 00:00:00"
347;5;46;"Robert A. Black";"2009-10-10 00:00:00"
348;11;43;"Robert A. Black";"2009-10-10 00:00:00"
349;13;43;"Robert A. Black";"2009-10-13 00:00:00"
350;2;38;"Robert A. Black";"2009-10-13 00:00:00"
351;3;49;"Robert A. Black";"2009-10-13 00:00:00"
352;4;39;"Robert A. Black";"2009-10-13 00:00:00"
353;7;37;"Robert A. Black";"2009-10-13 00:00:00"
354;13;39;"Robert A. Black";"2009-10-20 00:00:00"
355;11;43;"Robert A. Black";"2009-10-20 00:00:00"
356;2;39;"Robert A. Black";"2009-10-20 00:00:00"
357;3;46;"Robert A. Black";"2009-10-20 00:00:00"
358;4;34;"Robert A. Black";"2009-10-20 00:00:00"
359;14;32;"Robert A. Black";"2009-10-20 00:00:00"
360;10;46;"Robert A. Black";"2009-10-20 00:00:00"
361;3;48;"Robert A. Black";"2009-10-10 00:00:00"
362;11;40;"Robert A. Black";"2009-10-27 00:00:00"
363;2;42;"Robert A. Black";"2009-10-27 00:00:00"
364;7;41;"Robert A. Black";"2009-10-27 00:00:00"
365;10;46;"Robert A. Black";"2009-10-27 00:00:00"
366;14;42;"Robert A. Black";"2010-03-23 00:00:00"
367;8;43;"Robert A. Black";"2010-03-23 00:00:00"
368;10;46;"Robert A. Black";"2010-03-23 00:00:00"
369;7;38;"Robert A. Black";"2010-03-23 00:00:00"
370;2;41;"Robert A. Black";"2010-03-23 00:00:00"
371;11;43;"Robert A. Black";"2010-03-23 00:00:00"
372;6;40;"Robert A. Black";"2010-03-30 00:00:00"
373;11;44;"Robert A. Black";"2010-03-30 00:00:00"
374;8;45;"Robert A. Black";"2010-03-30 00:00:00"
375;7;44;"Robert A. Black";"2010-03-30 00:00:00"
376;5;42;"Robert A. Black";"2010-03-30 00:00:00"
377;2;45;"Robert A. Black";"2010-03-30 00:00:00"
378;3;45;"Robert A. Black";"2010-03-30 00:00:00"
379;4;42;"Robert A. Black";"2010-03-30 00:00:00"
380;1;41;"Robert A. Black";"2010-03-30 00:00:00"
381;4;39;"Robert A. Black";"2010-04-06 00:00:00"
382;1;40;"Robert A. Black";"2010-04-06 00:00:00"
383;6;42;"Robert A. Black";"2010-04-06 00:00:00"
384;8;42;"Robert A. Black";"2010-04-06 00:00:00"
385;7;39;"Robert A. Black";"2010-04-06 00:00:00"
386;2;44;"Robert A. Black";"2010-04-06 00:00:00"
387;5;43;"Robert A. Black";"2010-04-06 00:00:00"
388;10;43;"Robert A. Black";"2010-04-13 00:00:00"
389;8;40;"Robert A. Black";"2010-04-13 00:00:00"
390;7;36;"Robert A. Black";"2010-04-13 00:00:00"
391;6;43;"Robert A. Black";"2010-04-13 00:00:00"
392;5;45;"Robert A. Black";"2010-04-13 00:00:00"
393;4;38;"Robert A. Black";"2010-04-13 00:00:00"
394;3;45;"Robert A. Black";"2010-04-13 00:00:00"
395;2;45;"Robert A. Black";"2010-04-13 00:00:00"
396;1;39;"Robert A. Black";"2010-04-13 00:00:00"
397;10;44;"Robert A. Black";"2010-04-20 00:00:00"
398;8;43;"Robert A. Black";"2010-04-20 00:00:00"
399;7;40;"Robert A. Black";"2010-04-20 00:00:00"
400;6;43;"Robert A. Black";"2010-04-20 00:00:00"
401;4;37;"Robert A. Black";"2010-04-20 00:00:00"
402;3;46;"Robert A. Black";"2010-04-20 00:00:00"
403;2;42;"Robert A. Black";"2010-04-20 00:00:00"
404;2;41;"Robert A. Black";"2010-04-27 00:00:00"
